Wavelength (nm),% Transmission,,,,,,,,,,
371,0.00007845,,,,,,,,,,
371.2,0.00007566,,,,,,,,,,
371.4,0.00007671,,,,,,,,,,
371.6,0.00007415,,,,,,,,,,
371.8,0.00007850,,,,,,,,,,
372,0.00007484,,,,,,,,,,
372.2,0.00007770,,,,,,,,,,
372.4,0.00008141,,,,,,,,,,
372.6,0.00007501,,,,,,,,,,
372.8,0.00007275,,,,,,,,,,
373,0.00007310,,,,,,,,,,
373.2,0.00008433,,,,,,,,,,
373.4,0.00007928,,,,,,,,,,
373.6,0.00007011,,,,,,,,,,
373.8,0.00007249,,,,,,,,,,
374,0.00008034,,,,,,,,,,
374.2,0.00007593,,,,,,,,,,
374.4,0.00008278,,,,,,,,,,
374.6,0.00007131,,,,,,,,,,
374.8,0.00007848,,,,,,,,,,
375,0.00007481,,,,,,,,,,
375.2,0.00007738,,,,,,,,,,
375.4,0.00008483,,,,,,,,,,
375.6,0.00007573,,,,,,,,,,
375.8,0.00007124,,,,,,,,,,
376,0.00007098,,,,,,,,,,
376.2,0.00008093,,,,,,,,,,
376.4,0.00008277,,,,,,,,,,
376.6,0.00007470,,,,,,,,,,
376.8,0.00007578,,,,,,,,,,
377,0.00007478,,,,,,,,,,
377.2,0.00008227,,,,,,,,,,
377.4,0.00007920,,,,,,,,,,
377.6,0.00007656,,,,,,,,,,
377.8,0.00007838,,,,,,,,,,
378,0.00007864,,,,,,,,,,
378.2,0.00007897,,,,,,,,,,
378.4,0.00008311,,,,,,,,,,
378.6,0.00007430,,,,,,,,,,
378.8,0.00007754,,,,,,,,,,
379,0.00007427,,,,,,,,,,
379.2,0.00007176,,,,,,,,,,
379.4,0.00008017,,,,,,,,,,
379.6,0.00008322,,,,,,,,,,
379.8,0.00007793,,,,,,,,,,
380,0.00007309,,,,,,,,,,
380.2,0.00008019,,,,,,,,,,
380.4,0.00007665,,,,,,,,,,
380.6,0.00007606,,,,,,,,,,
380.8,0.00008119,,,,,,,,,,
381,0.00007651,,,,,,,,,,
381.2,0.00007875,,,,,,,,,,
381.4,0.00007737,,,,,,,,,,
381.6,0.00008014,,,,,,,,,,
381.8,0.00008394,,,,,,,,,,
